metrekare,Brüt_Metrekare,oda_sayisi,kat,Eşya_Durumu,binayasi,Isıtma_Tipi,Fiyat,Şehir,Binanın_Kat_Sayısı,Kullanım_Durumu,Yatırıma_Uygunluk,Takas,Tapu_Durumu,Banyo_Sayısı
55,65,2,1.Kat,Boş,4,Kombi Doğalgaz,1175000,eskisehir,3,Kiracı Oturuyor,Bilinmiyor,Yok,,1
90,110,3,2.Kat,Boş,10-May,Kombi Doğalgaz,1895000,eskisehir,4,Kiracı Oturuyor,Bilinmiyor,Yok,,1
65,70,2,2.Kat,Boş,0 (Yeni),Kombi Doğalgaz,1550000,eskisehir,3,Boş,Bilinmiyor,Yok,,1
125,145,4,1.Kat,Boş,0 (Yeni),Yerden Isıtma,3100000,eskisehir,3,Boş,Bilinmiyor,Var,Kat İrtifakı,2
125,140,4,1.Kat,Boş,21 Ve Üzeri,Kombi Doğalgaz,1675000,eskisehir,4,Boş,Bilinmiyor,Var,Kat İrtifakı,1
55,58,4,1.Kat,Boş,10-May,Kombi Doğalgaz,1365000,eskisehir,4,Kiracı Oturuyor,Bilinmiyor,Yok,,1
105,120,3,,,0 (Yeni),Kombi Doğalgaz,4200000,eskisehir,2,Boş,Uygun,,,2
75,85,3,3.Kat,Boş,15-Nov,Kombi Doğalgaz,1450000,eskisehir,3,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,Kat İrtifakı,1
105,115,3,1.Kat,Boş,3,Kombi Doğalgaz,2150000,eskisehir,2,Mülk Sahibi Oturuyor,Uygun,Var,Kat Mülkiyeti,1
95,100,3,2.Kat,,0 (Yeni),Kombi Doğalgaz,2100000,eskisehir,2,Boş,Uygun,,Kat Mülkiyeti,2
105,110,3,2.Kat,Boş,0 (Yeni),Yerden Isıtma,2850000,eskisehir,3,Boş,Uygun,Yok,Kat Mülkiyeti,1
125,150,5,3.Kat,Boş,10-May,Kombi Doğalgaz,2490000,eskisehir,3,Mülk Sahibi Oturuyor,Uygun,Yok,Kat Mülkiyeti,1
120,140,4,6.Kat,Boş,0 (Yeni),Yerden Isıtma,4050000,eskisehir,6,Boş,Uygun,Var,Kat Mülkiyeti,2
95,110,3,1.Kat,Boş,10-May,Kombi Doğalgaz,1450000,eskisehir,2,Boş,Uygun,Yok,Kat Mülkiyeti,1
130,140,4,2.Kat,Eşyalı,21 Ve Üzeri,Merkezi Doğalgaz,1500000,eskisehir,7,Boş,,Yok,Kat Mülkiyeti,1
120,147,4,2.Kat,,21 Ve Üzeri,Kombi Doğalgaz,3300000,eskisehir,4,Mülk Sahibi Oturuyor,,,,1
110,120,4,5.Kat,,21 Ve Üzeri,Merkezi Doğalgaz,2200000,eskisehir,8,Kiracı Oturuyor,,,,1
130,140,4,1.Kat,,21 Ve Üzeri,Merkezi Doğalgaz,1950000,eskisehir,7,Mülk Sahibi Oturuyor,Uygun,,Kat Mülkiyeti,1
127,130,4,3.Kat,,15-Nov,Kombi Doğalgaz,2350000,eskisehir,3,Mülk Sahibi Oturuyor,,,,1
40,50,2,2.Kat,,0 (Yeni),Kombi Doğalgaz,1475000,eskisehir,2,Boş,,,,1
150,160,4,3.Kat,Boş,0 (Yeni),Yerden Isıtma,3600000,eskisehir,3,Boş,Uygun,,Kat Mülkiyeti,2
65,75,2,2.Kat,Boş,0 (Yeni),Kombi Doğalgaz,1575000,eskisehir,3,Boş,Uygun,Yok,Kat İrtifakı,2
110,130,4,4.Kat,,21 Ve Üzeri,Kombi Doğalgaz,1725000,eskisehir,8,Kiracı Oturuyor,,,,1
155,165,4,2.Kat,,10-May,Merkezi (Pay Ölçer),5350000,eskisehir,3,Mülk Sahibi Oturuyor,,,,2
145,155,4,2.Kat,,21 Ve Üzeri,Kombi Doğalgaz,1750000,eskisehir,3,Boş,Bilinmiyor,Yok,,1
130,140,4,2.Kat,Eşyalı,21 Ve Üzeri,Kombi Doğalgaz,1500000,eskisehir,7,Boş,Bilinmiyor,Yok,,1
60,65,2,1.Kat,,10-May,Kombi Doğalgaz,975000,eskisehir,4,Boş,Bilinmiyor,Yok,,1
145,155,4,2.Kat,Boş,21 Ve Üzeri,Kombi Doğalgaz,1750000,eskisehir,3,Boş,Uygun,Yok,Kat Mülkiyeti,1
45,50,2,2.Kat,,15-Nov,Kombi Doğalgaz,1360000,eskisehir,4,Boş,Uygun,,Kat Mülkiyeti,1
6300,6500,4,,,15-Nov,Sobalı,7250000,eskisehir,1,Mülk Sahibi Oturuyor,,,,1
90,100,3,2.Kat,Boş,10-May,Kombi Doğalgaz,1630000,eskisehir,3,Boş,Uygun,Var,Kat Mülkiyeti,1
95,105,3,1.Kat,Boş,10-May,Kombi Doğalgaz,1980000,eskisehir,3,Mülk Sahibi Oturuyor,Bilinmiyor,Var,,1
55,65,2,3.Kat,,10-May,Merkezi Doğalgaz,1050000,eskisehir,3,Mülk Sahibi Oturuyor,Uygun,,Kat İrtifakı,1
100,110,4,1.Kat,Boş,10-May,Kombi Doğalgaz,2275000,eskisehir,3,Kiracı Oturuyor,Bilinmiyor,Var,,1
120,130,4,1.Kat,,21 Ve Üzeri,Merkezi (Pay Ölçer),1550000,eskisehir,7,Kiracı Oturuyor,Uygun,,Kat Mülkiyeti,1
65,70,3,1.Kat,,10-May,Kombi Doğalgaz,1700000,eskisehir,3,Boş,,,Kat Mülkiyeti,1
80,90,3,Düz Giriş (Zemin),,10-May,Kombi Doğalgaz,900000,eskisehir,3,Boş,Uygun,,Kat Mülkiyeti,1
120,125,4,2.Kat,,0 (Yeni),Yerden Isıtma,2800000,eskisehir,3,Boş,,,,2
50,60,2,Düz Giriş (Zemin),Boş,10-May,Kombi Doğalgaz,985000,eskisehir,4,Boş,Bilinmiyor,Yok,,1
55,60,2,2.Kat,Eşyalı,10-May,Merkezi (Pay Ölçer),2100000,eskisehir,5,Kiracı Oturuyor,Bilinmiyor,Yok,,1
60,65,2,1.Kat,,0 (Yeni),Kombi Doğalgaz,1450000,eskisehir,3,Mülk Sahibi Oturuyor,,,,1
135,150,4,2.Kat,,0 (Yeni),Kombi Doğalgaz,4300000,eskisehir,3,Boş,Bilinmiyor,Var,,2
85,100,3,1.Kat,,0 (Yeni),Kombi Doğalgaz,2000000,eskisehir,3,Boş,Bilinmiyor,Var,Kat İrtifakı,1
90,105,3,2.Kat,,0 (Yeni),Kombi Doğalgaz,2200000,eskisehir,3,Boş,Bilinmiyor,Var,Kat İrtifakı,1
120,135,4,1.Kat,,0 (Yeni),Kombi Doğalgaz,2500000,eskisehir,3,Boş,Bilinmiyor,Var,Kat İrtifakı,1
55,65,2,2.Kat,,0 (Yeni),Kombi Doğalgaz,1550000,eskisehir,3,Boş,Bilinmiyor,Var,Kat İrtifakı,1
120,130,4,8.Kat,,21 Ve Üzeri,Kombi Doğalgaz,2100000,eskisehir,10,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,,1
50,55,2,3.Kat,,0 (Yeni),Yerden Isıtma,1150000,eskisehir,3,Boş,Bilinmiyor,Yok,Kat İrtifakı,1
55,60,2,1.Kat,Boş,0 (Yeni),Sobalı,750000,eskisehir,2,Boş,Bilinmiyor,Yok,,1
60,65,2,Villa Tipi,,0 (Yeni),Sobalı,1050000,eskisehir,2,Boş,Bilinmiyor,Yok,,1
135,150,4,3.Kat,Boş,15-Nov,Kombi Doğalgaz,4200000,eskisehir,7,Mülk Sahibi Oturuyor,Uygun,Yok,Kat Mülkiyeti,2
100,110,4,5.Kat,,21 Ve Üzeri,Merkezi Doğalgaz,1300000,eskisehir,5,Mülk Sahibi Oturuyor,Uygun,,Kat Mülkiyeti,1
130,140,4.5,4.Kat,,21 Ve Üzeri,Merkezi Doğalgaz,2300000,eskisehir,7,Boş,,,,2
35,40,1,1.Kat,Boş,15-Nov,Kombi Doğalgaz,915000,eskisehir,3,Kiracı Oturuyor,Uygun,Yok,Kat Mülkiyeti,1
125,135,4,Yüksek Giriş,,21 Ve Üzeri,Kombi Doğalgaz,1750000,eskisehir,3,Boş,,,,1
95,105,3,Yüksek Giriş,,15-Nov,Kombi Doğalgaz,1750000,eskisehir,3,Mülk Sahibi Oturuyor,,Var,Kat Mülkiyeti,1
125,140,4,9.Kat,Boş,16-20,Kombi Doğalgaz,3350000,eskisehir,9,Boş,Bilinmiyor,Yok,Kat Mülkiyeti,2
130,140,4,6.Kat,,21 Ve Üzeri,Kombi Doğalgaz,2400000,eskisehir,7,Kiracı Oturuyor,,,Kat Mülkiyeti,1
110,135,4,2.Kat,Boş,15-Nov,Merkezi (Pay Ölçer),1680000,eskisehir,7,Mülk Sahibi Oturuyor,Uygun,Yok,Kat İrtifakı,1
50,60,2,1.Kat,,0 (Yeni),Kombi Doğalgaz,1375000,eskisehir,3,Boş,,,,1
110,120,4,2.Kat,Boş,0 (Yeni),Kombi Doğalgaz,2475000,eskisehir,3,Boş,Uygun,Var,Kat İrtifakı,1
95,105,3,1.Kat,Boş,0 (Yeni),Yerden Isıtma,2150000,eskisehir,3,Boş,Uygun,Var,Kat İrtifakı,2
80,95,3,2.Kat,,0 (Yeni),Kombi Doğalgaz,2100000,eskisehir,3,Boş,Bilinmiyor,Var,Kat İrtifakı,2
760,762,7,,,21 Ve Üzeri,Sobalı,3650000,eskisehir,2,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,,2
90,100,3,1.Kat,Boş,10-May,Kombi Doğalgaz,2500000,eskisehir,5,Kiracı Oturuyor,Bilinmiyor,Yok,,1
244,260,6,3.Kat,Boş,4,Kombi Doğalgaz,3400000,eskisehir,3,Boş,Bilinmiyor,Yok,Müstakil Tapulu,2
130,140,4,1.Kat,Boş,10-May,Kombi Doğalgaz,3200000,eskisehir,3,Boş,Bilinmiyor,Yok,Kat Mülkiyeti,1
80,90,3,Düz Giriş (Zemin),Boş,0 (Yeni),Yerden Isıtma,1575000,eskisehir,3,Boş,Uygun,Var,Kat İrtifakı,1
60,75,2,2.Kat,Boş,15-Nov,Kombi Doğalgaz,1175000,eskisehir,2,Boş,Uygun,Yok,Kat Mülkiyeti,1
85,95,3,1.Kat,Boş,0 (Yeni),Kombi Doğalgaz,1595000,eskisehir,2,Boş,Uygun,Yok,Kat Mülkiyeti,1
95,105,3,3.Kat,,15-Nov,Kombi Doğalgaz,1850000,eskisehir,3,Boş,Uygun,,Kat Mülkiyeti,1
120,140,3,1.Kat,,15-Nov,Kombi Doğalgaz,1399000,eskisehir,4,Kiracı Oturuyor,,,,1
110,125,4,1.Kat,Boş,10-May,Kombi Doğalgaz,1770000,eskisehir,3,Kiracı Oturuyor,Bilinmiyor,Yok,,1
200,220,5,3.Kat,Boş,0 (Yeni),Yerden Isıtma,3850000,eskisehir,3,Boş,Bilinmiyor,Yok,Kat İrtifakı,1
50,60,2,3.Kat,,10-May,Kombi Doğalgaz,1050000,eskisehir,3,Boş,,Var,Kat Mülkiyeti,1
165,180,5,3.Kat,,10-May,Kombi Doğalgaz,1850000,eskisehir,3,Boş,Uygun,Var,Kat İrtifakı,1
95,110,3,4.Kat,,10-May,Kombi Doğalgaz,1780000,eskisehir,5,Kiracı Oturuyor,,Yok,Kat İrtifakı,1
95,110,4,1.Kat,Boş,21 Ve Üzeri,Kombi Doğalgaz,1500000,eskisehir,3,Boş,Bilinmiyor,Yok,,1
604,605,,,,21 Ve Üzeri,Kombi Doğalgaz,13250000,eskisehir,3,Boş,Bilinmiyor,Yok,,6
90,96,2,Düz Giriş (Zemin),,15-Nov,Kombi Doğalgaz,975000,eskisehir,3,Boş,,,,1
130,140,4,1.Kat,,0 (Yeni),Kombi Doğalgaz,4500000,eskisehir,3,Boş,Uygun,,Kat Mülkiyeti,2
135,145,4,1.Kat,,10-May,Kombi Doğalgaz,1810000,eskisehir,3,Boş,Uygun,Yok,Kat Mülkiyeti,2
90,92,3,Yüksek Giriş,Boş,16-20,Kombi Doğalgaz,1800000,eskisehir,4,Mülk Sahibi Oturuyor,Uygun,,Kat Mülkiyeti,1
55,60,2,1.Kat,Eşyalı,10-May,Kombi Doğalgaz,1400000,eskisehir,4,Kiracı Oturuyor,Bilinmiyor,Yok,,1
50,55,2,3.Kat,Boş,15-Nov,Kombi Doğalgaz,1055000,eskisehir,3,Boş,Bilinmiyor,Yok,,1
185,200,4,2.Kat,,0 (Yeni),Kombi Doğalgaz,6149999,eskisehir,3,Boş,,Yok,,2
90,100,3,1.Kat,,0 (Yeni),Yerden Isıtma,2100000,eskisehir,3,Boş,Uygun,,Kat İrtifakı,1
65,70,2,2.Kat,,0 (Yeni),Kombi Doğalgaz,1500000,eskisehir,3,Boş,Uygun,,Kat Mülkiyeti,1
95,105,3,2.Kat,Boş,4,Kombi Doğalgaz,1750000,eskisehir,4,Boş,Bilinmiyor,Var,,1
100,105,3,1.Kat,,0 (Yeni),Kombi Doğalgaz,1850000,eskisehir,3,Boş,Uygun,,Kat Mülkiyeti,2
85,95,3,2.Kat,Boş,10-May,Kombi Doğalgaz,2150000,eskisehir,3,Mülk Sahibi Oturuyor,Bilinmiyor,Var,,1
178,205,5,2.Kat,Eşyalı,10-May,Kombi Doğalgaz,7800000,eskisehir,3,Mülk Sahibi Oturuyor,Uygun,Var,Kat Mülkiyeti,2
90,100,3,Düz Giriş (Zemin),,16-20,Kombi Doğalgaz,1175000,eskisehir,3,Boş,Uygun,,Kat Mülkiyeti,1
80,85,2,3.Kat,,16-20,Kombi Doğalgaz,1350000,eskisehir,3,Kiracı Oturuyor,,,,1
130,140,4,2.Kat,,0 (Yeni),Kombi Doğalgaz,2675000,eskisehir,3,Boş,Uygun,Yok,Kat Mülkiyeti,2
120,135,4,Kot 2 (-2).Kat,,2,Kombi Doğalgaz,2600000,eskisehir,3,Boş,Bilinmiyor,Yok,,2
105,115,3,2.Kat,Boş,0 (Yeni),Yerden Isıtma,2100000,eskisehir,2,Boş,Uygun,Var,Kat Mülkiyeti,1
55,70,2,3.Kat,,0 (Yeni),Kombi Doğalgaz,1400000,eskisehir,3,Boş,,,,1
60,65,2,2.Kat,,10-May,Kombi Doğalgaz,2350000,eskisehir,3,Mülk Sahibi Oturuyor,Uygun,,,1
50,60,2,2.Kat,Boş,1,Yerden Isıtma,1250000,eskisehir,2,Kiracı Oturuyor,Bilinmiyor,Var,,1
88,95,3,2.Kat,,0 (Yeni),Yerden Isıtma,2000000,eskisehir,2,Boş,Bilinmiyor,Var,Kat İrtifakı,1
80,88,3,1.Kat,,0 (Yeni),Yerden Isıtma,2000000,eskisehir,2,Boş,Bilinmiyor,Var,Kat İrtifakı,1
45,52,2,1.Kat,,0 (Yeni),Yerden Isıtma,1250000,eskisehir,2,Boş,Bilinmiyor,Var,,1
65,270,2,,,0 (Yeni),Sobalı,1050000,eskisehir,2,Boş,Uygun,,Hisseli Tapu,1
100,110,4,4.Kat,,15-Nov,Merkezi Doğalgaz,2300000,eskisehir,5,Boş,Uygun,,Kat Mülkiyeti,1
120,130,4,1.Kat,Boş,0 (Yeni),Kombi Doğalgaz,2700000,eskisehir,3,Boş,Uygun,Var,Kat İrtifakı,2
110,120,4,1.Kat,Boş,0 (Yeni),Yerden Isıtma,2950000,eskisehir,3,Boş,Uygun,Var,Kat İrtifakı,1
135,165,4,5.Kat,Boş,21 Ve Üzeri,Merkezi Doğalgaz,2750000,eskisehir,6,Boş,,,,1
90,100,3,2.Kat,,0 (Yeni),Yerden Isıtma,1900000,eskisehir,3,Boş,Bilinmiyor,Yok,Kat İrtifakı,1
120,135,4,1.Kat,,21 Ve Üzeri,Kombi Doğalgaz,1950000,eskisehir,4,Kiracı Oturuyor,Bilinmiyor,Yok,,1
55,65,2,1.Kat,Boş,0 (Yeni),Kombi Doğalgaz,1490000,eskisehir,3,Boş,Uygun,Yok,Kat Mülkiyeti,1
40,45,2,2.Kat,Eşyalı,10-May,Kombi Doğalgaz,985000,eskisehir,4,Boş,Bilinmiyor,Yok,,1
90,100,3,4.Kat,,15-Nov,Kombi Doğalgaz,2550000,eskisehir,4,Kiracı Oturuyor,,,,1
55,58,2,3.Kat,Boş,10-May,Kombi Doğalgaz,1190000,eskisehir,3,Kiracı Oturuyor,Bilinmiyor,Yok,,1
125,140,4,2.Kat,Boş,15-Nov,Kombi Doğalgaz,3100000,eskisehir,2,Kiracı Oturuyor,Bilinmiyor,Yok,,2
55,60,2,2.Kat,Boş,10-May,Kombi Doğalgaz,1325000,eskisehir,4,Kiracı Oturuyor,Bilinmiyor,Yok,,1
120,130,4,4.Kat,,21 Ve Üzeri,Merkezi Doğalgaz,1850000,eskisehir,8,Boş,Bilinmiyor,Yok,,1
120,130,4,4.Kat,Boş,21 Ve Üzeri,Merkezi Doğalgaz,1850000,eskisehir,8,Boş,Bilinmiyor,Yok,,1
90,95,3,,Boş,21 Ve Üzeri,Kombi Doğalgaz,1850000,eskisehir,1,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,Arsa Tapulu,1
179,180,,,,21 Ve Üzeri,Sobalı,2100000,eskisehir,2,Boş,Bilinmiyor,Yok,,6
110,115,4,1.Kat,Boş,16-20,Kombi Doğalgaz,2200000,eskisehir,4,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,,1
95,100,3,2.Kat,Boş,15-Nov,Kombi Doğalgaz,1500000,eskisehir,4,Boş,Bilinmiyor,Yok,,1
95,100,3,2.Kat,Boş,21 Ve Üzeri,Kombi Doğalgaz,1575000,eskisehir,3,Boş,Bilinmiyor,Yok,Kat İrtifakı,1
88,90,3,,Boş,21 Ve Üzeri,Kombi Doğalgaz,1300000,eskisehir,1,Mülk Sahibi Oturuyor,Bilinmiyor,Var,Müstakil Tapulu,1
90,105,3,2.Kat,Boş,2,Kombi Doğalgaz,2550000,eskisehir,4,Boş,Bilinmiyor,Yok,Kat Mülkiyeti,1
95,110,3,3.Kat,Boş,2,Kombi Doğalgaz,2600000,eskisehir,3,Boş,Uygun,Yok,Kat Mülkiyeti,1
124,125,,,,15-Nov,Kombi Doğalgaz,4650000,eskisehir,2,Boş,Bilinmiyor,Yok,,6
95,115,4,,Boş,15-Nov,Kat Kaloriferi,1750000,eskisehir,2,Boş,Bilinmiyor,Yok,Müstakil Tapulu,1
55,60,2,1.Kat,Boş,4,Kombi Doğalgaz,1175000,eskisehir,3,Mülk Sahibi Oturuyor,Uygun,Yok,Kat Mülkiyeti,1
55,60,2,3.Kat,Boş,10-May,Kombi Doğalgaz,1150000,eskisehir,4,Kiracı Oturuyor,Uygun,Var,Kat Mülkiyeti,1
90,100,3,3.Kat,,0 (Yeni),Kombi Doğalgaz,2200000,eskisehir,3,Boş,,,,1
135,150,4,1.Kat,,0 (Yeni),Kombi Doğalgaz,2850000,eskisehir,3,Boş,,,Kat Mülkiyeti,2
150,220,4,,Boş,4,Kombi Doğalgaz,5500000,eskisehir,2,Boş,,,,4
130,145,4,1.Kat,Boş,16-20,Merkezi Doğalgaz,1750000,eskisehir,7,Boş,Uygun,Yok,Kat Mülkiyeti,1
80,110,3,4.Kat,Boş,10-May,Kombi Doğalgaz,1800000,eskisehir,5,Kiracı Oturuyor,Uygun,Yok,Kat Mülkiyeti,1
50,60,2,2.Kat,Boş,0 (Yeni),Kombi Doğalgaz,1560000,eskisehir,3,Boş,Uygun,Yok,Kat Mülkiyeti,1
65,75,2,1.Kat,,10-May,Kombi Doğalgaz,1850000,eskisehir,3,Boş,Uygun,,Kat Mülkiyeti,1
105,115,3,4.Kat,,10-May,Kombi Doğalgaz,1950000,eskisehir,4,Kiracı Oturuyor,Uygun,,Kat Mülkiyeti,1
125,145,4,2.Kat,Boş,0 (Yeni),Kombi Doğalgaz,2950000,eskisehir,3,Boş,Uygun,Var,Kat Mülkiyeti,2
60,65,2,2.Kat,Eşyalı,10-May,Kombi Doğalgaz,1015000,eskisehir,3,Kiracı Oturuyor,Uygun,,Kat Mülkiyeti,1
95,110,3,2.Kat,Boş,0 (Yeni),Kombi Doğalgaz,2200000,eskisehir,3,Boş,Bilinmiyor,Var,,2
140,160,4,3.Kat,Boş,0 (Yeni),Yerden Isıtma,5500000,eskisehir,3,Boş,Bilinmiyor,Var,Kat İrtifakı,2
95,105,3,2.Kat,Boş,10-May,Kombi Doğalgaz,1649000,eskisehir,3,Kiracı Oturuyor,Bilinmiyor,Yok,,1
120,135,4,3.Kat,Boş,0 (Yeni),Kombi Doğalgaz,2000000,eskisehir,3,Boş,Bilinmiyor,Yok,Kat İrtifakı,1
170,190,5,1.Kat,Boş,0 (Yeni),Yerden Isıtma,6500000,eskisehir,3,Boş,Bilinmiyor,Var,Kat İrtifakı,2
80,92,3,Bahçe Katı,Boş,10-May,Kombi Doğalgaz,1225000,eskisehir,4,Boş,Bilinmiyor,Yok,,1
113,128,3,2.Kat,Eşyalı,10-May,Kombi Doğalgaz,2250000,eskisehir,4,Boş,Bilinmiyor,Var,,1
90,100,3,1.Kat,Boş,4,Kombi Doğalgaz,1670000,eskisehir,3,Boş,Bilinmiyor,Yok,Kat İrtifakı,1
325,350,5,,Boş,0 (Yeni),Yerden Isıtma,13000000,eskisehir,3,Boş,,,Kat Mülkiyeti,6
70,75,2,2.Kat,Boş,10-May,Kombi Doğalgaz,1370000,eskisehir,3,Mülk Sahibi Oturuyor,,,Kat Mülkiyeti,1
85,95,3,3.Kat,Eşyalı,10-May,Kombi Doğalgaz,1625000,eskisehir,3,Boş,Uygun,Yok,Kat Mülkiyeti,1
80,95,3,2.Kat,Boş,16-20,Merkezi Doğalgaz,1350000,eskisehir,10,Kiracı Oturuyor,Uygun,Yok,Kat Mülkiyeti,1
65,75,2,1.Kat,,0 (Yeni),Yerden Isıtma,1650000,eskisehir,4,Boş,Uygun,Yok,Kat İrtifakı,1
110,120,4,1.Kat,Boş,15-Nov,Kombi Doğalgaz,1875000,eskisehir,4,Boş,Bilinmiyor,Yok,,1
90,100,3,1.Kat,,0 (Yeni),Kombi Doğalgaz,1340000,eskisehir,3,Boş,Uygun,,Kat Mülkiyeti,1
135,155,4,3.Kat,Boş,0 (Yeni),Yerden Isıtma,3600000,eskisehir,3,Boş,Uygun,Var,Kat Mülkiyeti,2
110,125,4,3.Kat,Boş,0 (Yeni),Yerden Isıtma,2750000,eskisehir,3,Boş,Uygun,,Kat Mülkiyeti,2
55,60,2,2.Kat,Boş,0 (Yeni),Kombi Doğalgaz,1425000,eskisehir,3,Boş,Uygun,Var,Kat Mülkiyeti,1
100,110,3,2.Kat,Boş,0 (Yeni),Yerden Isıtma,2100000,eskisehir,3,Boş,Uygun,Var,Kat Mülkiyeti,2
148,160,4,2.Kat,Boş,0 (Yeni),Yerden Isıtma,3500000,eskisehir,3,Boş,Uygun,Var,Kat Mülkiyeti,2
115,125,4,2.Kat,Boş,0 (Yeni),Yerden Isıtma,2750000,eskisehir,3,Boş,Uygun,Var,Kat Mülkiyeti,2
110,125,4,2.Kat,Boş,0 (Yeni),Yerden Isıtma,2850000,eskisehir,3,Boş,Uygun,Var,Kat Mülkiyeti,2
105,115,3,3.Kat,Boş,10-May,Kombi Doğalgaz,2750000,eskisehir,3,Mülk Sahibi Oturuyor,Uygun,Yok,Kat Mülkiyeti,1
110,120,3,4.Kat,Boş,0 (Yeni),Yerden Isıtma,3750000,eskisehir,4,Boş,Uygun,Var,Kat Mülkiyeti,2
55,60,2,2.Kat,Boş,0 (Yeni),Yerden Isıtma,2500000,eskisehir,4,Boş,Uygun,Yok,Kat Mülkiyeti,1
55,60,2,2.Kat,Boş,3,Kombi Doğalgaz,1250000,eskisehir,4,Kiracı Oturuyor,Bilinmiyor,Yok,,1
80,85,3,3.Kat,Boş,15-Nov,Kombi Doğalgaz,2100000,eskisehir,4,Boş,Bilinmiyor,Yok,,1
65,72,2,2.Kat,Boş,0 (Yeni),Kombi Doğalgaz,1500000,eskisehir,3,Boş,Bilinmiyor,Var,Kat İrtifakı,1
125,135,4,2.Kat,Boş,0 (Yeni),Yerden Isıtma,2850000,eskisehir,3,Boş,Bilinmiyor,Yok,Kat İrtifakı,2
50,55,2,1.Kat,Boş,10-May,Kombi Doğalgaz,1250000,eskisehir,4,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,,1
50,60,2,2.Kat,,15-Nov,Kombi Doğalgaz,1150000,eskisehir,3,Boş,,,,1
117,129,4,3.Kat,Boş,15-Nov,Kombi Doğalgaz,1975000,eskisehir,3,Boş,Uygun,Yok,Kat Mülkiyeti,1
110,120,3,2.Kat,,10-May,Kombi Doğalgaz,2550000,eskisehir,2,Mülk Sahibi Oturuyor,,,,1
65,70,2,1.Kat,,10-May,Kombi Doğalgaz,1225000,eskisehir,3,Mülk Sahibi Oturuyor,Bilinmiyor,Var,Müstakil Tapulu,1
65,70,2,3.Kat,,15-Nov,Kombi Doğalgaz,1550000,eskisehir,3,Kiracı Oturuyor,Uygun,,Kat Mülkiyeti,1
50,55,2,2.Kat,,15-Nov,Kombi Doğalgaz,1450000,eskisehir,4,Kiracı Oturuyor,Uygun,,Kat Mülkiyeti,1
125,135,4,1.Kat,Boş,0 (Yeni),Yerden Isıtma,3500000,eskisehir,3,Boş,Uygun,Yok,Kat Mülkiyeti,2
90,100,3,2.Kat,Boş,0 (Yeni),Kombi Doğalgaz,2800000,eskisehir,3,Boş,Uygun,Yok,Kat Mülkiyeti,1
50,114,2,,Eşyalı,15-Nov,Kombi Doğalgaz,15500000,eskisehir,3,Kiracı Oturuyor,,,,6
85,110,3,3.Kat,,10-May,Kombi Doğalgaz,1550000,eskisehir,3,Mülk Sahibi Oturuyor,Uygun,Yok,Kat Mülkiyeti,1
140,160,4,3.Kat,Boş,0 (Yeni),Yerden Isıtma,5500000,eskisehir,3,Boş,Uygun,Var,Kat İrtifakı,2
100,110,3,1.Kat,,10-May,Kombi Doğalgaz,1550000,eskisehir,3,Kiracı Oturuyor,,,,1
90,110,3,2.Kat,,10-May,Kombi Doğalgaz,1450000,eskisehir,3,Kiracı Oturuyor,,,Kat Mülkiyeti,1
100,120,3,1.Kat,,10-May,Kombi Doğalgaz,2250000,eskisehir,3,Mülk Sahibi Oturuyor,,,Müstakil Tapulu,2
85,125,4,Müstakil,,16-20,Kombi Doğalgaz,3650000,eskisehir,3,Mülk Sahibi Oturuyor,,,Kat Mülkiyeti,1
68,78,2,1.Kat,,10-May,Kombi Doğalgaz,1060000,eskisehir,4,Kiracı Oturuyor,Uygun,,Kat Mülkiyeti,1
68,78,2,1.Kat,,10-May,Kombi Doğalgaz,1060000,eskisehir,4,Kiracı Oturuyor,Uygun,Yok,Kat Mülkiyeti,1
55,68,2,2.Kat,,15-Nov,Kombi Doğalgaz,925000,eskisehir,4,Kiracı Oturuyor,Uygun,,Kat Mülkiyeti,1
68,78,2,3.Kat,,10-May,Kombi Doğalgaz,1060000,eskisehir,4,Kiracı Oturuyor,Uygun,,Kat Mülkiyeti,1
55,78,2,2.Kat,,10-May,Kombi Doğalgaz,1075000,eskisehir,3,Kiracı Oturuyor,Uygun,Yok,Kat Mülkiyeti,1
90,110,3,3.Kat,Boş,4,Kombi Doğalgaz,1850000,eskisehir,3,Boş,Uygun,Yok,Kat Mülkiyeti,1
68,78,2,1.Kat,Boş,1,Kombi Doğalgaz,1475000,eskisehir,3,Boş,Uygun,Yok,,1
55,78,2,3.Kat,,0 (Yeni),Kombi Doğalgaz,1200000,eskisehir,3,Boş,Uygun,Var,,1
85,110,3,1.Kat,,0 (Yeni),Kombi Doğalgaz,1850000,eskisehir,3,Boş,Uygun,,,2
105,150,3,Düz Giriş (Zemin),Boş,21 Ve Üzeri,Kombi Doğalgaz,1725000,eskisehir,1,Kiracı Oturuyor,,,Arsa Tapulu,1
170,190,5,1.Kat,Boş,0 (Yeni),Yerden Isıtma,6500000,eskisehir,3,Boş,Uygun,Var,Kat İrtifakı,2
90,100,3,2.Kat,,0 (Yeni),Kombi Doğalgaz,1250000,eskisehir,3,Boş,Uygun,,Kat Mülkiyeti,1
